PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Mestayer, PG; Durand, P; Augustin, P; Bastin, S; Bonnefond, JM; Benech, B; Campistron, B; Coppalle, A; Delbarre, H; Dousset, B; Drobinski, P; Druilhet, A; Frejafon, E; Grimmond, CSB; Groleau, D; Irvine, M; Kergomard, C; Kermadi, S; Lagouarde, JP; Lemonsu, A; Lohou, F; Long, N; Masson, V; Moppert, C; Noilhan, J; Offerle, B; Oke, TR; Pigeon, G; Puygrenier, V; Roberts, S; Rosant, JM; Said, F; Salmond, J; Talbaut, M; Voogt, J				Mestayer, PG; Durand, P; Augustin, P; Bastin, S; Bonnefond, JM; Benech, B; Campistron, B; Coppalle, A; Delbarre, H; Dousset, B; Drobinski, P; Druilhet, A; Frejafon, E; Grimmond, CSB; Groleau, D; Irvine, M; Kergomard, C; Kermadi, S; Lagouarde, JP; Lemonsu, A; Lohou, F; Long, N; Masson, V; Moppert, C; Noilhan, J; Offerle, B; Oke, TR; Pigeon, G; Puygrenier, V; Roberts, S; Rosant, JM; Said, F; Salmond, J; Talbaut, M; Voogt, J			The urban boundary-layer field campaign in Marseille (UBL/CLU-ESCOMPTE): Set-up and first results	BOUNDARY-LAYER METEOROLOGY																Grimmond, Sue/A-2179-2009; DURAND, Pierre/O-3032-2017; INERIS, Ineris/B-5682-2009; Salmond, Jennifer /C-4217-2011; FREJAFON, Emeric/A-2407-2009	Grimmond, Sue/0000-0002-3166-9415; Long, Nathalie/0000-0002-7064-7278; Salmond, Jennifer/0000-0001-5670-7724												0006-8314					FEB	2005	114	2					315	365		10.1007/s10546-004-9241-4								WOS:000225439600003						
J	Wiart, P; Oppenheimer, C				Wiart, P; Oppenheimer, C			Large magnitude silicic volcanism in north Afar: The Nabro Volcanic Range and Ma'alalta volcano	BULLETIN OF VOLCANOLOGY																Oppenheimer, Clive/G-9881-2013	Oppenheimer, Clive/0000-0003-4506-7260												0258-8900					FEB	2005	67	2					99	115		10.1007/s00445-004-0362-x								WOS:000226557900001						
J	Adler-Golden, SM; Acharya, PK; Berk, A; Matthew, MW; Gorodetzky, D				Adler-Golden, SM; Acharya, PK; Berk, A; Matthew, MW; Gorodetzky, D			Remote bathymetry of the littoral zone from AVIRIS, LASH, and QuickBird imagery	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING																													0196-2892					FEB	2005	43	2					337	347		10.1109/TGRS.2004.841246								WOS:000226502100015						
J	Sarkar, SK; Ahmad, I; Das, J; De, AK				Sarkar, SK; Ahmad, I; Das, J; De, AK			Cloud height, cloud temperature and cloud attenuation in microwave and millimeterwave frequency bands over Indian tropical East Coast	INTERNATIONAL JOURNAL OF INFRARED AND MILLIMETER WAVES																													0195-9271					FEB	2005	26	2					329	340		10.1007/s10762-005-3010-4								WOS:000227352500015						
J	Leckie, DG; Cloney, E; Jay, C; Paradine, D				Leckie, DG; Cloney, E; Jay, C; Paradine, D			Automated mapping of stream features with high-resolution multispectral imagery: An example of the capabilities	PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING																													0099-1112					FEB	2005	71	2					145	155		10.14358/PERS.71.2.145								WOS:000226764800003						
J	Kim, JH; Na, S; Newchurch, MJ; Martin, RV				Kim, JH; Na, S; Newchurch, MJ; Martin, RV			Tropical tropospheric ozone morphology and seasonality seen in satellite and in situ measurements and model calculations	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Martin, Randall/A-2051-2008; Chem, GEOS/C-5595-2014; Martin, Randall/C-1205-2014	Martin, Randall/0000-0003-2632-8402												2169-897X	2169-8996				JAN 21	2005	110	D2							D02303	10.1029/2003JD004332								WOS:000226579200001						
J	Hokedal, J; Aas, E; Sorensen, K				Hokedal, J; Aas, E; Sorensen, K			Spectral optical and bio-optical relationships in the Oslo Fjord compared with similar results from the Baltic Sea	INTERNATIONAL JOURNAL OF REMOTE SENSING					Workshop on Baltic Sea Remote Sensing and Bio-Optical Modelling	2001	Stockholm Univ, Dept Phys Geography & Quaternary Geol, Stockholm, SWEDEN		Stockholm Univ, Dept Phys Geography & Quaternary Geol																				0143-1161					JAN 20	2005	26	2					371	386		10.1080/01431160410001720289								WOS:000226804800010						
J	Turner, J; Klaus, R				Turner, J; Klaus, R			Coral reefs of the Mascarenes, Western Indian Ocean	PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON SERIES A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES																													1364-503X					JAN 15	2005	363	1826					229	250		10.1098/rsta.2004.1489								WOS:000225970100021	15598634					
S	Hamilton, GS; Spikes, VB; Stearns, LA		Hamilton, G		Hamilton, Gordon S.; Spikes, V. Blue; Stearns, Leigh A.			Spatial patterns in mass balance of the Siple Coast and Amundsen Sea sectors, West Antarctica	ANNALS OF GLACIOLOGY, VOL 41 2005	ANNALS OF GLACIOLOGY				28th Symposium of the Scientific-Committee on Antarctic Research	JUL 28-29, 2004	Bremen, GERMANY	Sci Comm Antarct Res								Hamilton, Gordon/G-1679-2011													0260-3055		0-946417-36-9				2005	41						105	110		10.3189/172756405781813195								WOS:000238029800016						
J	Wang, YQ; Tobey, J; Bonynge, G; Nugranad, J; Makota, V; Ngusaru, A; Traber, M				Wang, YQ; Tobey, J; Bonynge, G; Nugranad, J; Makota, V; Ngusaru, A; Traber, M			Involving geospatial information in the analysis of land-cover change along the Tanzania coast	COASTAL MANAGEMENT																													0892-0753					JAN-MAR	2005	33	1					87	99		10.1080/08920750590883132								WOS:000226205800006						
