PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	EY	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Young, GS				Young, GS			SAR signatures of the marine atmospheric boundary layer: Implications for numerical forecasting	JOHNS HOPKINS APL TECHNICAL DIGEST																													0270-5214					JAN-MAR	2000	21	1					27	32										WOS:000085289300005						
J	Horstmann, J; Lehner, S; Koch, W; Tonboe, R				Horstmann, J; Lehner, S; Koch, W; Tonboe, R			Computation of wind vectors over the ocean using spaceborne synthetic aperture radar	JOHNS HOPKINS APL TECHNICAL DIGEST																													0270-5214					JAN-MAR	2000	21	1					100	107										WOS:000085289300015						
J	Robinson, IS				Robinson, IS			Space techniques for remote sensing of environmental risks in seas and oceans	SURVEYS IN GEOPHYSICS					European Commission Advanced Study Course on Space Techniques for Environmental Risks	JUN 29-JUL 10, 1998	STRASBOURG, FRANCE																						0169-3298						2000	21	2-3					317	328		10.1023/A:1006702529338								WOS:000167731800018						
J	Giesenhagen, HC; Detmer, AE; de Wall, J; Weber, A; Gradinger, RR; Jochem, FJ				Giesenhagen, HC; Detmer, AE; de Wall, J; Weber, A; Gradinger, RR; Jochem, FJ			How are Antarctic planktonic microbial food webs and algal blooms affected by melting of sea ice? Microcosm simulations	AQUATIC MICROBIAL ECOLOGY																Gradinger, Rolf/E-4965-2015	Gradinger, Rolf/0000-0001-6035-3957												0948-3055					DEC 15	1999	20	2					183	201		10.3354/ame020183								WOS:000084820900007						
J	Mohan, R				Mohan, R			Orientation course on remote sensing applications in marine environment, at IIRS, Dehradun	JOURNAL OF THE GEOLOGICAL SOCIETY OF INDIA																													0016-7622					NOV	1999	54	5					551	552										WOS:000083518200012						
J	Zhang, M; Carder, K; Muller-Karger, FE; Lee, Z; Goldgof, DB				Zhang, M; Carder, K; Muller-Karger, FE; Lee, Z; Goldgof, DB			Noise reduction and atmospheric correction for coastal applications of landsat thematic mapper imagery	REMOTE SENSING OF ENVIRONMENT																													0034-4257					NOV	1999	70	2					167	180		10.1016/S0034-4257(99)00031-0								WOS:000083730200004						
J	Gasparovic, RF; Raney, RK; Beal, RC				Gasparovic, RF; Raney, RK; Beal, RC			Ocean remote sensing research and applications at APL	JOHNS HOPKINS APL TECHNICAL DIGEST																													0270-5214					OCT-DEC	1999	20	4					600	610										WOS:000084251000016						
J	Gade, M; Alpers, W				Gade, M; Alpers, W			Using ERS-2 SAR images for routine observation of marine pollution in European coastal waters	SCIENCE OF THE TOTAL ENVIRONMENT					International Symposium on Marine Pollution (IAEAs)	OCT 05-09, 1998	MONACO, MONACO	Intergovt Oceanographic Comm,UNESCO, United Nations Environm Program, Int Maritime Org, Comm Int Explorat Sci Mer Mediterranee																					0048-9697					SEP 30	1999	238				SI		441	448										WOS:000083272200037	10568294					
J	Feingold, G; Frisch, AS; Stevens, B; Cotton, WR				Feingold, G; Frisch, AS; Stevens, B; Cotton, WR			On the relationship among cloud turbulence, droplet formation and drizzle as viewed by Doppler radar, microwave radiometer and lidar	JOURNAL OF GEOPHYSICAL RESEARCH-ATMOSPHERES																Feingold, Graham/B-6152-2009; Stevens, Bjorn/A-1757-2013	Stevens, Bjorn/0000-0003-3795-0475												2169-897X					SEP 27	1999	104	D18					22195	22203		10.1029/1999JD900482								WOS:000082789200010						
J	Johnson, AKL; Ebert, SP; Murray, AE				Johnson, AKL; Ebert, SP; Murray, AE			Distribution of coastal freshwater wetlands and riparian forests in the Herbert River catchment and implications for management of catchments adjacent the Great Barrier Reef Marine Park	ENVIRONMENTAL CONSERVATION																													0376-8929					SEP	1999	26	3					229	235		10.1017/S0376892999000314								WOS:000083565600011						
J	Clemente-Colon, P; Yan, XH				Clemente-Colon, P; Yan, XH			Observations of East Coast upwelling conditions in Synthetic Aperture Radar imagery	IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING					International Geoscience and Remote Sensing Symposium (IGARSS 98)	1998	SEATTLE, WASHINGTON	Int Geosci & Remote Sensing Soc								Clemente-Colon, Pablo/F-5581-2010													0196-2892					SEP	1999	37	5	1				2239	2248		10.1109/36.789620								WOS:000082627400012						
J	Voulgaris, G; Workman, M; Collins, MB				Voulgaris, G; Workman, M; Collins, MB			Measurement techniques of shingle transport in the nearshore zone	JOURNAL OF COASTAL RESEARCH																Voulgaris, George/A-7593-2014	Voulgaris, George/0000-0002-0667-8870												0749-0208					FAL	1999	15	4					1030	1039										WOS:000083470300017						
J	Borge, JCN; Reichert, K; Dittmer, J				Borge, JCN; Reichert, K; Dittmer, J			Use of nautical radar as a wave monitoring instrument	COASTAL ENGINEERING																													0378-3839					AUG	1999	37	3-4					331	342		10.1016/S0378-3839(99)00032-0								WOS:000082359600008						
J	Drennan, WM; Graber, HC; Donelan, MA				Drennan, WM; Graber, HC; Donelan, MA			Evidence for the effects of swell and unsteady winds on marine wind stress	JOURNAL OF PHYSICAL OCEANOGRAPHY																	Drennan, William/0000-0003-1708-4311												0022-3670					AUG	1999	29	8	1				1853	1864		10.1175/1520-0485(1999)029<1853:EFTEOS>2.0.CO;2								WOS:000082607300014						
J	Wright, DJ				Wright, DJ			Getting to the bottom of it: Tools, techniques, and discoveries of deep ocean geography	PROFESSIONAL GEOGRAPHER																Wright, Dawn/A-4518-2011	Wright, Dawn/0000-0002-2997-7611												0033-0124					AUG	1999	51	3					426	439		10.1111/0033-0124.00177								WOS:000081714000009						
